Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1948.4601369995848
FDW14,OUT017,1197.3486006368366
NCN55,OUT010,2188.5147359950247
FDQ58,OUT017,2244.5329194229294
FDY38,OUT027,5071.501357566374
FDH56,OUT046,1905.2351722744188
FDL48,OUT018,1337.427197637296
FDC48,OUT027,2772.939491783915
FDN33,OUT045,1216.8390737494774
FDA36,OUT017,2774.300923375809
FDT44,OUT017,1533.3535632785765
FDQ56,OUT045,1015.9685080832073
NCC54,OUT019,2684.111834880081
FDU11,OUT049,2045.0129672263051
DRL59,OUT013,549.5101024108754
FDM24,OUT049,2572.0965711263375
FDI57,OUT045,2831.316480020266
DRC12,OUT018,3557.9813862963433
NCM42,OUT027,3191.1579890145804
FDA46,OUT010,1356.2121646226615
FDA31,OUT013,2352.06602152415
NCJ31,OUT035,3348.8213309762814
FDG52,OUT046,761.266174910829
NCL19,OUT019,1319.801264867533
FDS10,OUT035,2585.011531703012
FDX22,OUT010,1828.6299793808612
NCF19,OUT035,516.6594021135409
NCE06,OUT046,2508.994773199129
DRC27,OUT046,3839.8180672759304
FDE21,OUT035,1614.8721013024501
NCR42,OUT019,-460.25508683229305
FDX51,OUT018,3695.2767807685464
NCR06,OUT018,1303.1116589004844
FDU31,OUT027,4938.082817243194
FDU59,OUT017,2265.91716934537
FDR03,OUT027,4783.525616318819
FDS49,OUT027,2659.443622720951
FDD48,OUT010,262.20177206735093
NCF18,OUT017,2696.6748292658726
NCD43,OUT027,3120.574977903701
NCD54,OUT018,2809.873069302636
FDY19,OUT010,268.8562816963281
NCY54,OUT017,2340.730072184748
NCL19,OUT018,2868.09740819263
FDP23,OUT010,1860.9310464082596
FDC26,OUT013,1354.5423605286223
FDR14,OUT010,-853.8613764669701
NCS41,OUT035,2601.651074292175
FDF41,OUT035,3526.787028637887
FDU34,OUT046,1947.338083930932
DRH11,OUT046,901.4535002131054
FDM03,OUT013,1269.7224657440797
FDS31,OUT017,2643.218733357271
FDJ20,OUT017,1651.0108377664133
FDV44,OUT027,4458.337333108899
FDG02,OUT049,3209.479560437261
FDA09,OUT013,2694.211386454807
FDT04,OUT013,216.50291294319481
FDL58,OUT019,3131.6106309139313
FDE52,OUT045,1243.5522641184325
FDW12,OUT035,2091.9271072790093
FDL51,OUT017,3159.9754798204794
NCY42,OUT027,3714.1789659762057
FDR07,OUT017,1221.1355131558585
FDN40,OUT045,2085.896820513774
FDB35,OUT027,2890.0562514811827
