Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1724.388825775651
FDW14,OUT017,1475.3402771995593
NCN55,OUT010,600.6195742115549
FDQ58,OUT017,2342.602545803486
FDY38,OUT027,5651.516314929932
FDH56,OUT046,1978.8293422259026
FDL48,OUT018,697.9717722684105
FDC48,OUT027,2408.1944029184083
FDN33,OUT045,1493.1643088219262
FDA36,OUT017,3228.811740084947
FDT44,OUT017,2127.1944864088773
FDQ56,OUT045,1448.7034701646503
NCC54,OUT019,539.12029211403
FDU11,OUT049,2086.6085680725746
DRL59,OUT013,753.4704379044914
FDM24,OUT049,2268.7203505067187
FDI57,OUT045,2912.122932149714
DRC12,OUT018,2826.679228933492
NCM42,OUT027,2986.0906774162677
FDA46,OUT010,472.3609806284427
FDA31,OUT013,2928.2771187619214
NCJ31,OUT035,4015.979873734708
FDG52,OUT046,743.2204986676038
NCL19,OUT019,316.3736976568143
FDS10,OUT035,3001.738680328085
FDX22,OUT010,550.0618837756916
NCF19,OUT035,686.7168163236228
NCE06,OUT046,2519.2818761382864
DRC27,OUT046,3863.9489051126675
FDE21,OUT035,1914.4300261659941
NCR42,OUT019,117.28385920180563
FDX51,OUT018,2780.8755354703303
NCR06,OUT018,570.8962768722472
FDU31,OUT027,5302.634577306829
FDU59,OUT017,2491.3912604058664
FDR03,OUT027,5192.077423336396
FDS49,OUT027,2382.719495110128
FDD48,OUT010,289.0232708529674
NCF18,OUT017,3224.474703241622
NCD43,OUT027,2789.2039416329562
NCD54,OUT018,2065.1265221172184
FDY19,OUT010,285.1017424702536
NCY54,OUT017,2708.9764913620984
NCL19,OUT018,2013.0096736385592
FDP23,OUT010,580.7119026834457
FDC26,OUT013,1797.3816674466204
FDR14,OUT010,164.90749177520544
NCS41,OUT035,3227.3707854217173
FDF41,OUT035,4176.2863676371035
FDU34,OUT046,2184.2606518714706
DRH11,OUT046,924.7531417791781
FDM03,OUT013,1746.6387780812831
FDS31,OUT017,3219.868618422603
FDJ20,OUT017,2180.2823709115364
FDV44,OUT027,4994.321811402486
FDG02,OUT049,3426.4720155866903
FDA09,OUT013,3189.5388728113285
FDT04,OUT013,611.8576269279387
FDL58,OUT019,745.7799834114583
FDE52,OUT045,1421.6811801217677
FDW12,OUT035,2404.8504835170525
FDL51,OUT017,3738.215443492894
NCY42,OUT027,3713.789048269268
FDR07,OUT017,1593.8129490270248
FDN40,OUT045,2293.0446274003407
FDB35,OUT027,2602.1703985407485
FDA22,OUT017,2506.5954008674307
NCL06,OUT046,4104.284765661986
FDI35,OUT013,3167.7930961760285
NCW42,OUT045,3583.544691822022
NCX06,OUT049,3035.0031541377016
FDC37,OUT027,2945.016760233758
FDZ14,OUT018,1798.7790535917325
DRG49,OUT049,4075.487834100737
NCG06,OUT045,4089.763160190951
DRC36,OUT045,2936.9572838113436
FDV21,OUT019,305.3531250780145
FDB53,OUT046,2540.6193875674085
DRP47,OUT019,580.509283226947
FDA14,OUT013,2483.9999583039225
DRC24,OUT035,2618.401379483163
FDW21,OUT018,1403.2665272345891
NCH29,OUT046,1649.763556221307
FDU58,OUT013,3105.2112022774036
FDY27,OUT017,2803.8240080179035
FDV56,OUT035,1669.3284858954214
FDT59,OUT046,3782.9941647747883
FDB23,OUT046,3443.0459700753745
FDR49,OUT045,732.3888327177269
FDB03,OUT010,624.7621021074693
FDN39,OUT045,2753.468195070205
FDX02,OUT027,5464.5985476698
FDQ16,OUT027,2930.5780700264695
FDU35,OUT018,1391.4040334583176
